Hra,BET,
"online_Multiplay 81_CZK, e-gaming, s.r.o."," 45,788,855 Kč ",22.40%
"online_Multi 5_CZK, e-gaming, s.r.o."," 21,923,965 Kč ",10.72%
"online_Hunter's Dream 2_CZK, e-gaming, s.r.o."," 20,664,495 Kč ",10.11%
"online_Fruit Jack_CZK, e-gaming, s.r.o."," 18,872,410 Kč ",9.23%
"online_Wild Cookies_CZK, e-gaming, s.r.o."," 16,834,965 Kč ",8.23%
"online_Midnight Fruits_CZK, APOLLO SOFT s.r.o."," 12,103,025 Kč ",5.92%
"online_100 Hot Wild_CZK, Tech4Bet"," 10,775,223 Kč ",5.27%
"online_Firebird 27_CZK, SYNOT W, a.s."," 9,062,836 Kč ",4.43%
"online_Sugoi Spin_CZK, e-gaming, s.r.o."," 8,603,825 Kč ",4.21%
"online_Maxi 5_CZK, e-gaming, s.r.o."," 7,844,375 Kč ",3.84%
"online_Aztec Jaguar_CZK, SYNOT W, a.s."," 7,150,759 Kč ",3.50%
"online_Fruit Blaster_CZK, e-gaming, s.r.o."," 6,469,505 Kč ",3.16%
"online_Respin Joker_CZK, SYNOT W, a.s."," 6,399,822 Kč ",3.13%
"online_Respin Joker 81_CZK, SYNOT W, a.s."," 6,185,628 Kč ",3.03%
"online_Ferris Wheel_CZK, e-gaming, s.r.o."," 5,761,395 Kč ",2.82%
