Název hry,Bet,% Win/Bet,Počet spinů
Sweet Bonanza,102008,137.907909,6781
243 Simply Ways,142008,133.014689,14733
81 Famous Multifruits,282494,131.137298,17049
Fruit Sizzler,971655,130.972928,4346
Nightmare Squad,141135,123.661742,2868
Wild Love,161993.9,123.169206,19176
Treasure Box,1693760,116.462486,7537
Super Frog Hop,765080,115.149396,12628
Wild Flame Sevens,264185,113.390238,2333
Pirate Adventures,437255,113.029011,16221
Gates of Olympus,341184,112.82736,30967
Super Star 27,514890,111.136359,7885
Frutty Lab,103795,111.012091,6149
Savana Sunrise Deluxe,148385,108.804798,5030
Super Buddha,191795,107.51323,2026
Respin Joker 243,512891,105.918119,19030
Joker Plus II Street,139316,105.050389,5989
Big Bass Bonanza,171099,104.488337,19586
Karlos Game,2359812,104.450016,86051
Fruity Gold 81,375951,103.071145,22561
Respin Joker,2151214,102.987197,56163
Triple Wild Seven 5 Reels,167000,102.901198,1694
Joker´s Jewels,1794586,102.680618,11341
Hunter’s Spirit,523139,102.643275,18540
Happy Nuts 81,110379,101.584541,7696
Ferris Wheel,722925,101.512605,19282
Hunter's Dream 2,5458210,100.251181,123617
Double Game 2,1184645,100.196261,13892
Seasons,793895,100.154177,15988
Kings Fruit,110180,99.739517,2354
Multi 5,5110400,99.631438,70679
243 Crystal Fruits,487179,99.267415,13032
81 Simply Ways,732189,99.175896,11145
Maxi 5,2422435,98.905234,33655
Respin Fruit 81,176270,98.584558,3235
Triple Wild 7,633965,98.19785,4312
Fruit Joker,108505,97.751256,1830
Fruit Jack,2309285,97.629439,79800
Super Reels Deluxe,870725,97.606592,13753
5 Stones,1351295,97.345139,37308
Hell Hot 40,170087.2,97.322432,12113
Harlequin Dice,127138,97.240007,5065
81 Multi Gold,721828,96.889425,49055
Hyper Wheels,238897,96.711135,9943
Black Pearl,134326,96.244212,5777
Chance Machine 20,110758.8,96.112815,10713
Jetsetter,125189,96.038238,4588
Multiplay 81,9424040,96.015403,216886
100 Hot Wild,1297529,95.461392,63039
Fruit Bomb,142570,95.426808,5776
Joker 40,278866,94.999032,9320
Yellow Dragon,374945,94.703223,8815
Vigorous Knights,334270,94.688426,9791
5 Dragon hearts,108593,93.688267,2969
Wild Cookies,4875035,93.58659,81757
Bača,100319,93.382609,7829
Amazon’s Wonders,155269.5,93.240269,39999
Apparatus 40,573630,93.041682,25412
Sugoi Spin,1598525,93.035329,14073
Respin Joker 81,2698646,92.748771,49956
After Dark,794120,92.639651,12278
243 Hot Ways,141443,92.437236,6346
Strip Bar 81,132500,92.237736,7268
Primal Age,136865,92.222263,2204
Cowboys Gold,465004,91.915553,9262
Criss Cross,291650,91.853249,13231
Blissful Jack 100,177276,91.620355,18443
Lucky Streak 2,263063.75,91.425177,50385
Slot Birds 81,176920,91.329414,8708
Midnight Fruits,1752100,91.207123,58030
Mountain Legends 2,269395,91.154253,7717
Bonus Joker II,479035,91.145741,23774
Treasures of Asgard,690220,90.938396,31750
Oldskool Spin 81,452990,90.262478,22785
Fruit Blaster,641675,90.090778,21247
Super Joker 40,174962,90.084533,13881
5 Fruits,349725,89.989277,13729
Čert a Káča,134603,89.968277,1227
Double Game,2032700,89.863482,29712
Big Show,384425,89.718411,20045
Multi Vegas 81,3136798,89.681293,34243
Jiggly Jack,408950,89.404817,20932
4 Spin,560150,89.329644,4348
Multi Vegas 81 Exclusive,155758,88.9354,11746
81 Hot Ways,226557,88.922876,28178
Firebird Double 27,449166,88.916792,33264
Aztec Jaguar,944013,88.833522,38092
Simply The Best 81,365609,88.805527,14118
Firebird 27,307773,88.756973,19280
Lumberjack 2,118867,88.721849,9986
Blazing Ice,139427,88.5969,6807
Fruit Joker II,567810,88.224054,16174
Jewels Quest 2,350650,86.231285,21444
Shaolin Punch,121825,85.745947,2718
Treasure Box 2,1364295,85.711668,12376
4 Stones,195090,85.199139,4554
Multiplay Hot,323460,84.571508,14451
81 Joker Fruits,136928,84.547353,8013
Oldskool Spin 243,308445,84.3943,13069
243 Christmas Fruits,355450,84.336475,10078
Fruity Gold,235417,82.449441,12249
Spin Machine 81,102920,82.107462,6414
Frozzy Fruits,117600,81.84949,7386
Circus 2,177505,81.527281,2630
Kajot Lines Street,140109,81.348093,6213
Madame Destiny Megaways,133110,81.286004,7650
Double Star 27,127415,78.62889,1394
Turbo Slots,657645,76.329175,7484
Slot Birds,113140,75.486123,3030
Joker 27,156294,75.395089,3500
The Secret of Ba,279354,59.09706,1871
